Entry,author1,x4Ref1
10112,W.E.Kinney+,"R,ORNL-4549,1970"
10113,W.E.Kinney+,"R,ORNL-4807,1974"
10114,J.W.Codding jr+,"J,NSE,43,58,1971"
10115,C.J.Orth,"J,NSE,43,54,1971"
10116,J.Lebowitz+,"J,NC/A,65,675,1970"
10117,M.S.Krick+,"J,NSE,47,311,1972"
10118,S.F.Mughabghab+,"J,BAP,15,1667(CC6),1970"
10119,J.Halperin+,"R,ORNL-4706,47,1971"
10120,J.R.Lemley+,"J,NSE,43,281,1971"
10121,M.S.Moore+,"J,PR/C,3,1656,1971"
10122,J.C.Clement+,"R,RPI-328-200,24,1970"
10123,T.E.Young+,"J,NSE,40,389,1970"
10124,P.Stoler+,"C,71KNOX,1,311,1971"
10125,A.H.Jaffey+,"J,NP/A,145,1,1970"
10126,J.L.Green+,"J,JNM,34,281,1970"
10127,R.W.Hockenbury+,"J,NSE,49,153,1972"
10128,R.W.Benjamin+,"J,NSE,47,203,1972"
10129,C.E.Bemis+,"J,NSE,41,146,1970"
10130,F.G.Perey+,"R,ORNL-4552,1970"
10131,L.Heaton+,"J,PCS,28,1651,1967"
10132,F.B.Simpson+,"J,NP/A,164,34,1971"
10133,T.E.Young+,"J,NSE,43,341,1971"
10134,R.L.Bramlett+,"J,NSE,35,350,1969"
10135,J.L.Romero+,"J,PR/C,2,2134,1970"
10136,C.H.Johnson+,"C,71KNOX,1,179,1971"
10137,J.L.Fowler+,"J,PR/C,8,545,1973"
10138,R.E.Chrien+,"J,PR/C,3,2054,1971"
10139,T.L.Houk,"J,PR/C,3,1886,1971"
10140,E.Cheifetz+,"J,PR/C,3,2017,1971"
10141,B.J.Allen+,"J,PR/C,3,1737,1971"
10142,H.A.Grench+,"J,NP/A,166,670,1971"
10143,H.M.Eiland+,"J,NSE,44,180,1971"
10144,J.F.Conant+,"J,NSE,44,173,1971"
10145,W.D.Lu+,"J,PR/C,1,358,1970"
10146,V.C.Rogers+,"J,NSE,45,297,1971"
10147,H.M.Eiland+,"J,NSE,54,286,1974"
10148,J.W.Meadows+,"C,70ANL,,129,1970"
10149,J.N.Palmieri+,"J,PR/C,3,144,1971"
10150,N.Yamamuro+,"J,NSE,41,445,1970"
10151,R.S.Mowatt+,"J,CJP,49,108,1971"
10152,D.F.Beckstrand+,"J,PR/C,3,208,1971"
10153,J.A.Nelson+,"J,PR/C,3,307,1971"
10154,R.S.Mowatt,"J,CJP,48,1933,1970"
10155,B.J.Allen+,"J,PR/C,8,1504,1973"
10156,J.R.D.Copley,"J,ACR/A,26,376,1970"
10157,P.Venugopala rao+,"J,PR/C,3,629,1971"
10158,D.O.Nellis+,"J,PR/C,1,847,1970"
10159,J.D.Seagrave+,"J,AP,74,250,1972"
10160,R.M.Wilenzick+,"J,PR/C,4,2126,1971"
10161,R.O.Lane+,"J,PR/C,4,380,1971"
10162,L.W.Weston+,"J,PR/C,10,1402,1974"
10163,W.B.Broste+,"J,PR/C,5,761,1972"
10164,J.Halperin+,"R,ORNL-4437,1969"
10165,J.Halperin+,"R,ORNL-4581,37,1970"
10166,A.De volpi+,"J,PR/C,1,683,1970"
10167,W.P.Poenitz+,"J,NP/A,151,569,1970"
10168,F.P.Cranston+,"J,NP/A,169,95,1971"
10169,J.B.Czirr,"R,UCRL-50804,1970"
10170,C.D.Bowman+,"C,70HELSINKI,2,65,1970"
10171,R.W.Durham+,"J,CJP,48,716,1970"
10172,J.B.Garg+,"J,PR/C,3,2447,1971"
10173,J.M.Clement+,"J,NP/A,183,51,1972"
10174,W.Galati+,"J,PR/C,5,1508,1972"
10175,S.Kardonsky+,"J,PR/C,4,840,1971"
10176,S.Kardonsky+,"J,PR/C,4,846,1971"
10177,R.A.Schrack+,"J,BAP,17,555(HE1),1972"
10178,R.B.Schwartz+,"W,HEATON,1971"
10179,A.B.Smith+,"J,NSE,47,19,1972"
10180,S.K.Ghorai+,"J,JNE,25,319,1971"
10181,D.R.Gill+,"J,NP/A,229,397,1974"
10182,R.J.Jiacoletti+,"J,NSE,48,412,1972"
10183,S.S.Glickstein+,"J,PR/C,4,1818,1971"
10184,J.C.Davis+,"J,PR/C,4,1061,1971"
10185,J.Als-nielsen+,"J,PRL,27,741,1971"
10186,G.N.Salaita,"J,NP/A,170,193,1971"
10187,B.G.Gibbard+,"J,NP/B,30,77,1971"
10188,D.F.Bartlett+,"J,PRL,27,881,1971"
10189,F.D.Mcdaniel+,"J,PR/C,6,1181,1972"
10190,A.Niiler+,"J,PR/C,4,36,1971"
10191,G.S.Mutchler+,"J,PR/C,4,67,1971"
10192,R.H.Fulmer+,"J,NSE,46,314,1971"
10193,D.Drake+,"J,PL/B,36,557,1971"
10194,L.W.Jones+,"J,PL/B,36,509,1971"
10195,R.B.Knowlen+,"J,NIM,78,300,1970"
10196,W.L.Lakin+,"J,PL/B,31,677,1970"
10197,J.Kalyna+,"R,NYO-73-340,1970"
10198,J.Felvinci+,"R,NYO-73-340,1970"
10199,J.R.Huizenga+,"C,69VIENNA,,403(118),1969"
10200,J.P.Felvinci+,"C,71KNOX,,855,1971"
10201,J.K.Dickens,"J,PR/C,5,100,1972"
10202,J.K.Dickens,"J,NSE,48,78,1972"
10203,J.K.Dickens+,"J,NSE,50,311,1973"
10204,O.D.Simpson+,"J,NSE,55,273,1974"
10205,Y.Lukic+,"J,NSE,43,233,1971"
10206,J.D.Jenkins,"J,ANS,14,353,1971"
10207,R.Gwin+,"J,NSE,12,359,1962"
10208,R.Gwin+,"J,NSE,12,364,1962"
10209,K.F.Koral+,"J,NP/A,175,156,1971"
10210,G.Tessler+,"J,PR/C,2,2390,1970"
10211,A.D.Carlson+,"J,ANS,14,352,1971"
10212,A.Smith+,"J,JNE,27,317,1973"
10213,C.E.Hollandsworth+,"J,PR/C,5,395,1972"
10214,J.K.Temperley+,"R,BRL-R-1491,1970"
10215,W.P.Bucher+,"J,BAP,16,1180(ED1),1971"
10216,R.P.Torti+,"J,PR/C,6,1686,1972"
10217,J.J.Singh,"R,NASA-TN-D-5946,1970"
10218,Y.D.Harker+,"C,72KIAMESHA,2,614,1972"
10219,C.G.Hoot+,"C,75WASH,2,766,1975"
10220,S.S.Glickstein+,"J,PR/C,10,173,1974"
10221,M.Lindner+,"J,NSE,59,381,1976"
10222,J.Halperin+,"R,ORNL-4706,53,1971"
10223,D.W.Muir+,"C,71KNOX,1,292,1971"
10224,D.C.Santry+,"J,CJP,50,2536,1972"
10225,L.Green+,"R,WAPD-TM-1073,1973"
10226,I.Bergqvist+,"J,NP/A,191,641,1972"
10227,D.S.Simmons+,"C,71KNOX,2,543,1971"
10228,M.R.Mcpherson+,"C,71KNOX,2,611,1971"
10229,S.F.Mughabghab+,"J,PRL,26,1118,1971"
10230,M.Auman+,"J,PR/C,5,1,1972"
10231,D.L.Smith,"J,NIM,102,193,1972"
10232,W.P.Poenitz+,"J,JNE,26,483,1972"
10233,A.B.Smith+,"J,NSE,18,126,1964"
10234,S.Pearlstein+,"J,JNE/AB,19,497,1965"
10235,G.A.Petitt+,"J,NP,79,231,1966"
10236,J.W.Meadows,"J,NSE,54,317,1974"
10237,J.W.Meadows,"J,NSE,49,310,1972"
10238,D.L.Smith+,"J,NSE,58,314,1975"
10239,D.L.Smith,"R,ANL-7710,15,1971"
10240,M.J.Bennett+,"J,NP/A,171,113,1971"
10241,M.J.Saltmarsh+,"R,ORNL-4534,5,1970"
10242,C.E.Bemis jr+,"J,NSE,47,371,1972"
10243,R.C.Greenwood+,"J,PR/C,4,2249,1971"
10244,A.K.Hankla+,"J,NP/A,180,157,1972"
10245,D.S.Cramer+,"J,NP/A,180,273,1972"
10246,T.R.Fisher+,"J,NP/A,179,241,1972"
10247,F.Rahn+,"J,NSE,47,372,1972"
10248,R.J.Holt+,"J,NP/A,213,147,1973"
10249,R.B.Perez+,"J,NSE,52,46,1973"
10250,L.Forman+,"C,71KNOX,2,735,1971"
10251,C.A.Goulding+,"R,COO-3058-1,11,1971"
10252,C.A.Goulding+,"R,COO-3058-21,2,1972"
10253,W.P.Poenitz,"J,NSE,47,228,1972"
10254,A.J.Frasca+,"J,PR,144,854,1966"
10255,G.Yuen+,"J,NP/A,171,614,1971"
10256,A.Stolovy+,"J,PR/C,5,2030,1972"
10257,A.A.Bauer+,"J,JNM,42,91,1972"
10258,G.J.Kirouac+,"J,NSE,52,310,1973"
10259,J.H.Gillette,"R,ORNL-4155,15,1967"
10260,C.R.Pierce+,"R,NASA-TN-D-5628,1970"
10261,D.C.Santry+,"J,JNE,27,409,1973"
10262,H.Rosler+,"J,PL/B,38,501,1972"
10263,J.D.Brandenberger+,"J,NP/A,196,65,1972"
10264,M.M.Hoffman+,"R,LA-5552,1974"
10265,T.Watanabe+,"J,NSE,41,188,1970"
10266,G.F.Auchampaugh+,"J,NP/A,171,31,1971"
10267,R.Gwin+,"J,NSE,59,79,1976"
10268,V.C.Rogers+,"J,ANS,14,806,1971"
10269,F.Rahn+,"J,PR/C,8,1827,1973"
10270,G.de saussure+,"C,66PARIS,2,233(48),1966"
10271,J.R.Berreth+,"J,NSE,49,145,1972"
10272,J.R.Berreth+,"R,IN-1407,66,1970"
10273,J.N.Palmieri,"J,NP/A,188,72,1972"
10274,F.Rahn+,"J,PR/C,6,1854,1972"
10275,P.F.Shepard+,"J,PR/D,10,2735,1974"
10276,W.E.Kinney+,"R,ORNL-4780,1972"
10277,P.Lambropoulos+,"J,NP/A,201,1,1973"
10278,C.Goulding+,"J,NP/A,215,253,1973"
10279,S.H.Hayes+,"J,NSE,50,243,1973"
10280,R.B.Schwartz+,"J,NSE,54,322,1974"
10281,K.W.Macmurdo+,"J,JIN,34,449,1972"
10282,G.H.Lander+,"J,ACR/B,27,2284,1971"
10283,F.G.Perey+,"R,ORNL-4805,1974"
10284,W.E.Kinney+,"R,ORNL-4803,1973"
10285,W.E.Kinney+,"R,ORNL-4810,1973"
10286,W.E.Kinney+,"R,ORNL-4804,1973"
10287,W.E.Kinney+,"R,ORNL-4806,1974"
10288,M.K.Dewanjee+,"J,JIN,34,1105,1972"
10289,N.C.Dyer+,"J,JIN,34,1119,1972"
10290,M.G.Silbert+,"J,PR/C,4,220,1971"
10291,M.G.Silbert+,"J,NSE,52,187,1973"
10292,M.G.Silbert+,"J,NSE,51,376,1973"
10293,R.D.Werner+,"J,JNE,26,403,1972"
10294,J.H.Landrum+,"R,UCRL-51263,1972"
10295,C.G.Shull,"J,PRL,29,871,1972"
10296,W.P.Poenitz,"C,70ANL,,281,1970"
10297,K.R.Alvar,"J,NP/A,195,289,1972"
10298,L.R.Fawcett+,"J,NSE,49,317,1972"
10299,K.A.Alfieri+,"J,NSE,51,25,1973"
10300,J.P.Balagna+,"C,73ROCH,2,191,1973"
10301,L.W.Weston+,"J,ANS,15,480,1972"
10302,R.B.Perez+,"J,NSE,55,203,1974"
10303,S.J.Friesenhahn+,"C,75WASH,1,232,1975"
10304,J.A.Grundl+,"J,ANS,15,945,1972"
10305,J.B.Czirr+,"J,NSE,52,299,1973"
10306,A.W.Obst+,"J,PR/C,7,1076,1973"
10307,M.C.Gupta+,"J,CJP,51,121,1973"
10308,R.H.Lindsay+,"J,NP/A,199,513,1973"
10309,J.J.Singh,"J,ANS,15,147,1972"
10310,J.K.Dickens,"J,NSE,50,98,1973"
10311,J.K.Dickens+,"R,ORNL-4846,1973"
10312,D.R.Nethaway,"J,NP/A,190,635,1972"
10313,B.L.Berman+,"J,PR/C,7,2522,1973"
10314,M.C.Davis+,"J,ANE,5,569,1978"
10315,T.G.Masterson,"J,PR/C,6,690,1972"
10316,T.W.Burrows,"J,PR/C,7,1306,1973"
10317,R.M.Harbour+,"J,NSE,50,364,1973"
10318,J.M.Cox+,"J,NP/A,203,89,1973"
10319,C.E.Hollandsworth+,"R,BRL-R-1764,1975"
10320,G.R.Norman+,"J,CJP,50,2385,1972"
10321,D.E.Velkley+,"J,PR/C,7,1736,1973"
10322,J.Felvinci+,"J,ANS,15,944,1972"
10323,M.S.Moore+,"J,PR/C,4,273,1971"
10324,M.V.Harlow+,"C,68WASH,2,837,1968"
10325,A.B.Smith+,"J,ZP,264,379,1973"
10326,J.A.Farrell+,"C,70HELSINKI,1,543,1970"
10327,M.A.Gardner+,"J,NP/A,265,77,1976"
10328,P.T.Guenther+,"J,NSE,54,273,1974"
10329,D.M.Drake,"R,LA-5134,1973"
10330,D.M.Drake,"R,LA-5048,1972"
10331,W.P.Bucher+,"J,NSE,54,416,1974"
10332,S.A.Cox+,"R,ANL-7935,1972"
10333,W.P.Poenitz,"J,NSE,53,370,1974"
10334,G.J.Kirouac+,"R,KAPL-3980,1972"
10335,P.Stoler+,"J,PR/C,8,1539,1973"
10336,M.Stamatelatos+,"J,NSE,51,113,1973"
10337,W.P.Bucher+,"J,PR,115,961,1959"
10338,R.W.Stooksberry+,"J,NSE,51,235,1973"
10339,A.Okazaki+,"R,AECL-3073,1968"
10340,J.C.Browne+,"J,PR/C,8,2405,1973"
10341,J.F.Wild+,"J,JIN,35,1063,1973"
10342,F.G.Perey+,"W,PEREY,1973"
10343,P.Coppens+,"J,ACR/B,25,2442,1969"
10344,R.G.Graves+,"J,PR/C,8,781,1973"
10345,M.Atoji,"J,ACR/A,28,663(1),1972"
10346,D.M.Barton+,"J,NSE,60,369,1976"
10347,R.E.Druschel+,"R,ORNL-4306,2,1968"
10348,J.Halperin+,"R,ORNL-4164,1,1967"
10349,J.W.Dabbs+,"R,ORNL-4937,181,1974"
10350,J.K.Dickens+,"J,NSE,53,277,1974"
10351,J.K.Dickens+,"R,ORNL-4864,1973"
10352,J.K.Dickens+,"R,ORNL-TM-4232,1973"
10353,J.K.Dickens+,"R,ORNL-4847,1973"
10354,R.G.Helmer+,"J,NP/A,211,1,1973"
10355,T.C.Montgomery+,"J,PR/C,16,499,1977"
10356,G.N.Salaita+,"J,ANS,16,59,1973"
10357,S.A.Rao,"J,JIN,34,2405,1972"
10358,M.C.Thompson,"J,PR/C,2,763,1970"
10359,S.K.Ghorai+,"J,NP/A,223,118,1974"
10360,C.W.Tang+,"J,JIN,35,371,1973"
10361,G.N.Salaita+,"J,JIN,35,2139,1973"
10362,S.A.Elbakr+,"J,NP/A,211,493,1973"
10363,R.M.Harbour+,"J,JIN,35,1821,1973"
10364,C.G.Shull+,"J,ZN/A,28,657,1973"
10365,T.J.Devlin+,"J,PR/D,8,136,1973"
10366,M.D.Semon+,"J,BAP,21,655(JE3),1976"
10367,N.Ahmed+,"J,PR/C,11,869,1975"
10368,R.E.Lewis,"R,ORNL-CF-66-12-9,6,1966"
10369,T.W.Burrows,"J,PR/C,8,1173,1973"
10370,R.E.Benenson+,"J,NP/A,212,147,1973"
10371,G.A.Keyworth+,"J,PRL,31,1077,1973"
10372,J.Zamudio-cristi+,"J,PRL,31,1009,1973"
10373,R.G.Arnold+,"J,PR/C,8,1179,1973"
10374,J.Whalen+,"R,ANL-7710,12,1971"
10375,P.W.Martin+,"J,CJP,51,2197,1973"
10376,J.H.Landrum+,"J,PR/C,8,1938,1973"
10377,F.G.Perey+,"R,ORNL-4823,1972"
10378,W.P.Poenitz,"J,ZP,268,359,1974"
10379,I.F.Bubb+,"J,CJP,52,648,1974"
10380,S.L.Hausladen+,"J,NP/A,217,563,1973"
10381,C.E.Nelson+,"J,NP/A,217,546,1973"
10382,J.C.Overley+,"J,NP/A,221,573,1974"
10383,S.S.Malik+,"J,PR/B,8,2595,1973"
10384,D.E.Velkley+,"J,PR/C,9,2181,1974"
10385,D.C.Santry+,"J,CJP,51,2441,1973"
10386,D.C.Santry+,"J,CJP,52,1421,1974"
10387,H.M.Eiland+,"J,NSE,53,1,1974"
10388,L.Green+,"J,NSE,54,18,1974"
10389,R.H.Augustson+,"J,NSE,54,190,1974"
10390,E.R.Reddingius+,"J,NP/A,218,84,1974"
10391,F.D.Mcdaniel+,"J,PR/C,10,1087,1974"
