Entry,author1
10253,W.P.Poenitz
10254,A.J.Frasca+
10255,G.Yuen+
10256,A.Stolovy+
10257,A.A.Bauer+
10258,G.J.Kirouac+
10259,J.H.Gillette
10260,C.R.Pierce+
10261,D.C.Santry+
10262,H.Rosler+
10263,J.D.Brandenberger+
10264,M.M.Hoffman+
10265,T.Watanabe+
10266,G.F.Auchampaugh+
10267,R.Gwin+
10268,V.C.Rogers+
10269,F.Rahn+
10270,G.de saussure+
10271,J.R.Berreth+
10272,J.R.Berreth+
10273,J.N.Palmieri
10274,F.Rahn+
10275,P.F.Shepard+
10276,W.E.Kinney+
10277,P.Lambropoulos+
10278,C.Goulding+
10279,S.H.Hayes+
10280,R.B.Schwartz+
10281,K.W.Macmurdo+
10282,G.H.Lander+
10283,F.G.Perey+
10284,W.E.Kinney+
10285,W.E.Kinney+
10286,W.E.Kinney+
10287,W.E.Kinney+
10288,M.K.Dewanjee+
10289,N.C.Dyer+
10290,M.G.Silbert+
10291,M.G.Silbert+
10292,M.G.Silbert+
10293,R.D.Werner+
10294,J.H.Landrum+
10295,C.G.Shull
10296,W.P.Poenitz
10297,K.R.Alvar
10298,L.R.Fawcett+
10299,K.A.Alfieri+
10300,J.P.Balagna+
10301,L.W.Weston+
10302,R.B.Perez+
10303,S.J.Friesenhahn+
10304,J.A.Grundl+
10305,J.B.Czirr+
10306,A.W.Obst+
10307,M.C.Gupta+
10308,R.H.Lindsay+
10309,J.J.Singh
10310,J.K.Dickens
10311,J.K.Dickens+
10312,D.R.Nethaway
10313,B.L.Berman+
10314,M.C.Davis+
10315,T.G.Masterson
10316,T.W.Burrows
10317,R.M.Harbour+
10318,J.M.Cox+
10319,C.E.Hollandsworth+
10320,G.R.Norman+
10321,D.E.Velkley+
10322,J.Felvinci+
10323,M.S.Moore+
10324,M.V.Harlow+
10325,A.B.Smith+
10326,J.A.Farrell+
10327,M.A.Gardner+
10328,P.T.Guenther+
10329,D.M.Drake
10330,D.M.Drake
10331,W.P.Bucher+
10332,S.A.Cox+
10333,W.P.Poenitz
10334,G.J.Kirouac+
10335,P.Stoler+
10336,M.Stamatelatos+
10337,W.P.Bucher+
10338,R.W.Stooksberry+
10339,A.Okazaki+
10340,J.C.Browne+
10341,J.F.Wild+
10342,F.G.Perey+
10343,P.Coppens+
10344,R.G.Graves+
10345,M.Atoji
